S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
74,2024-10-30,377.00,377.00,370.00,371.50,0.13,"33,749.00","12,577,446.70"
75,2024-10-29,367.00,373.30,366.00,371.00,1.37,"63,203.00","23,360,199.40"
76,2024-10-28,354.10,366.00,354.10,366.00,1.98,"44,073.00","15,958,086.90"
77,2024-10-27,354.80,365.00,354.80,358.90,-0.61,"43,996.00","15,803,994.90"
78,2024-10-24,373.00,373.00,352.80,361.10,-1.61,"118,792.00","42,683,503.80"
79,2024-10-23,378.10,384.00,365.00,367.00,-2.94,"135,310.00","50,127,693.20"
80,2024-10-22,375.50,382.00,374.20,378.10,0.13,"53,921.00","20,337,142.80"
81,2024-10-21,381.10,385.90,377.50,377.60,-2.33,"85,200.00","32,426,996.90"
82,2024-10-20,390.00,394.90,380.00,386.60,-1.88,"112,813.00","43,954,547.90"
83,2024-10-17,400.00,400.00,392.30,394.00,-0.35,"84,201.00","33,256,727.10"
84,2024-10-16,388.00,396.00,388.00,395.40,2.04,"88,954.00","35,037,706.50"
85,2024-10-15,383.50,389.00,381.00,387.50,1.04,"51,430.00","19,810,485.30"
86,2024-10-09,378.00,384.00,376.00,383.50,0.55,"52,289.00","19,865,539.80"
87,2024-10-08,387.00,387.00,378.00,381.40,-0.16,"55,126.00","21,053,876.70"
88,2024-10-07,378.00,385.00,378.00,382.00,1.06,"72,876.00","27,796,217.90"
89,2024-10-06,369.00,378.00,367.00,378.00,2.44,"89,543.00","33,569,771.20"
90,2024-10-02,370.10,377.00,359.00,369.00,-0.30,"79,249.00","29,332,657.80"
91,2024-10-01,357.00,372.00,357.00,370.10,3.52,"87,013.00","32,006,134.40"
92,2024-09-30,350.00,358.00,350.00,357.50,1.48,"36,555.00","13,010,791.50"
93,2024-09-29,357.00,357.00,350.00,352.30,-1.32,"35,272.00","12,434,920.10"
94,2024-09-26,359.00,365.00,355.00,357.00,-0.56,"34,594.00","12,391,495.70"
95,2024-09-25,351.00,359.90,348.90,359.00,2.22,"78,883.00","27,964,765.10"
96,2024-09-24,354.00,359.00,350.10,351.20,-0.79,"83,688.00","29,547,922.30"
97,2024-09-23,362.70,362.70,352.00,354.00,-0.45,"59,299.00","21,128,620.40"
98,2024-09-22,360.10,365.00,355.50,355.60,0.71,"61,970.00","22,226,710.50"
99,2024-09-18,350.00,357.90,346.00,353.10,1.15,"86,056.00","30,412,765.00"
